id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	103017	7#13	0	0
2	103016	8#2	0	0
3	103006	1#1|2#1|3#1|4#1|8#1|9#1|10#1|11#1|12#1|13#1|14#1|15#1|1#2|2#2|3#2|9#2|12#2|13#2|14#2|15#2|1#3|2#3|14#3|15#3|1#4|2#4|13#4|14#4|15#4|1#5|15#5|1#6|4#6|5#6|15#6|1#7|4#7|5#7|6#7|4#8|5#8|6#8|5#9|6#9|10#9|5#10|6#10|10#10|11#10|9#11|10#11|11#11|13#11|14#11|9#12|11#12|12#12|13#12|14#12|8#13|9#13|13#13|14#13|15#13|7#14|8#14|9#14|10#14|11#14|12#14|13#14|14#14|15#14|5#15|6#15|7#15|8#15|9#15|10#15|11#15|12#15|13#15|14#15|15#15	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
4	103008	10#2	0	0
5	103007	7#5|9#7|2#8|12#9|5#12	1	0#0#0#0#0
6	103009	2#5	0	0
7	103010	12#11	0	0
8	103001	11#5	0	0
9	103014	10#3|3#5|7#11	1	0#0#0
10	103015	4#9	0	0
