id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	6001006	7#13	0	8
2	6001004	12#5	0	23
3	6001004	24#9	0	67
4	6001009	15#12	1	35
5	6001011	24#6	1	70
6	6001003	24#11	0	65
7	6001006	20#6	0	46
8	6001004	15#8	0	29
9	6001003	22#13	0	61
10	6001003	11#5	0	22
11	0	17#8	1	41
12	0	17#7	1	42
13	6001003	14#5	0	25
14	0	20#7	1	45
15	0	21#5	1	48
16	6001003	5#11	0	2
17	6001003	7#11	0	6
18	6001003	15#9	0	30
19	6001004	10#9	0	15
20	6001003	17#12	0	37
21	0	22#6	1	50
22	0	22#7	1	51
23	0	22#8	1	52
24	6001003	14#12	0	34
25	6001004	20#9	0	55
26	0	21#9	1	54
27	0	9#13	1	10
28	0	20#10	1	56
29	6001004	7#12	0	7
30	0	10#12	1	12
31	0	10#11	1	13
32	0	20#11	1	57
33	0	21#11	1	58
34	0	5#12	1	1
35	0	10#8	1	16
36	0	5#10	1	3
37	0	6#10	1	4
38	0	7#10	1	5
39	0	9#6	1	19
40	0	8#13	1	9
41	6001004	20#5	0	47
42	6001003	18#7	0	43
