id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	3014006	6#5|1#7|4#8|6#8|8#8|3#11|8#11	1	0#0#0#0#0#0#0
2	3014007	7#6	0	0
3	3014005	3#1|4#1|5#1|6#1|7#1|8#1|9#1|10#1|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|4#3|5#3|6#3|7#3|1#4|2#4|9#4|10#4|1#5|2#5|3#5|4#5|7#5|8#5|9#5|10#5|1#6|2#6|4#6|10#7|2#9|3#9|9#9|10#9|2#10|3#10|4#10|9#10|5#12|6#12	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
4	101013	10#6|10#8|7#10|2#12|4#12|7#12|10#12	0	0#0#0#0#0#0#0
5	3014004	9#7	0	0
6	3014003	2#8	1	0
7	3014002	5#10	0	0
8	3014001	4#4	0	0
9	3014012	8#6|1#9|4#9|6#11|9#11	0	0#0#0#0#0
