PlayerLv	Exp	MaxEnergy	AddEnergy	ExtraAdd	MazeTreasureMax
int	int	int	int	int	int
1	120	0	0	0	18000
2	360	0	0	0	18000
3	720	0	0	0	18000
4	1200	0	0	0	18000
5	1800	0	0	0	18000
6	3020	0	0	0	18000
7	3360	0	0	0	18000
8	4320	0	0	0	18000
9	5400	0	0	0	18000
10	7200	0	0	0	18000
11	9240	0	0	0	18000
12	11520	0	0	0	18000
13	14040	0	0	0	18000
14	16800	0	0	0	18000
15	19800	0	0	0	18000
16	23040	0	0	0	18000
17	26520	0	0	0	18000
18	30240	0	0	0	18000
19	34200	0	0	0	18000
20	40700	0	0	0	18000
21	48200	0	0	0	20000
22	56700	0	0	0	20000
23	66200	0	0	0	20000
24	76700	0	0	0	20000
25	87500	0	0	0	20000
26	98600	0	0	0	20000
27	110000	0	0	0	20000
28	121700	0	0	0	20000
29	133700	0	0	0	20000
30	146000	0	0	5000	20000
31	158600	0	0	5000	22000
32	171500	0	0	5000	22000
33	184700	0	0	5000	22000
34	198200	0	0	5000	22000
35	212000	0	0	5000	22000
36	226100	0	0	5000	22000
37	240500	0	0	5000	22000
38	255200	0	0	5000	22000
39	270200	0	0	5000	22000
40	302000	0	0	10000	22000
41	270600	0	0	10000	24000
42	289800	0	0	10000	24000
43	309600	0	0	10000	24000
44	330000	0	0	10000	24000
45	351000	0	0	10000	24000
46	372600	0	0	10000	25000
47	394800	0	0	10000	25000
48	417600	0	0	10000	25000
49	441000	0	0	10000	25000
50	468000	0	0	15000	25000
51	495725	0	0	15000	26000
52	524165	0	0	15000	26000
53	553325	0	0	15000	26000
54	583205	0	0	15000	26000
55	613805	0	0	15000	26000
56	645125	0	0	15000	27000
57	677165	0	0	15000	27000
58	709925	0	0	15000	27000
59	743405	0	0	15000	27000
60	781205	0	0	20000	27000
61	819845	0	0	20000	28000
62	859325	0	0	20000	28000
63	899645	0	0	20000	28000
64	940805	0	0	20000	28000
65	982805	0	0	20000	28000
66	1030645	0	0	20000	29000
67	1069325	0	0	20000	29000
68	1113845	0	0	20000	29000
69	1159205	0	0	20000	29000
70	1209605	0	0	25000	29000
71	1260965	0	0	25000	30000
72	1313285	0	0	25000	30000
73	1366565	0	0	25000	30000
74	1420805	0	0	25000	30000
75	1476005	0	0	25000	30000
76	1532165	0	0	25000	30000
77	1589285	0	0	25000	30000
78	1647365	0	0	25000	30000
79	1706405	0	0	25000	30000
80	1771205	0	0	30000	30000
81	1837085	0	0	30000	30000
82	1904045	0	0	30000	30000
83	1972085	0	0	30000	30000
84	2041205	0	0	30000	30000
85	2111405	0	0	30000	30000
86	2182685	0	0	30000	30000
87	2305045	0	0	30000	30000
88	2328485	0	0	30000	30000
89	2403005	0	0	30000	30000
90	2484005	0	0	35000	30000
91	3066205	0	0	35000	30000
92	2649605	0	0	35000	30000
93	2734205	0	0	35000	30000
94	2820005	0	0	35000	30000
95	2907005	0	0	35000	30000
96	2995205	0	0	35000	30000
97	3084605	0	0	35000	30000
