Id	ItemId	Num	PurchaseType	LimitNum	CostItem	Price	Discount	VisibleStar	BuyStar
int	int	int	int	int	int	int	float	int	int
1	17014	5	1	10	16	1600	0.25	0	15
2	17014	10	1	10	16	1600	0.25	15	45
3	17014	5	1	10	16	1600	0.25	15	45
4	17014	10	1	10	16	1600	0.25	45	75
5	17014	5	1	10	16	1600	0.25	45	75
6	17014	10	1	10	16	1600	0.25	75	105
7	17014	5	1	10	16	1600	0.25	75	105
8	17014	10	1	10	16	1600	0.25	105	135
9	17014	5	1	10	16	1600	0.25	105	135
10	17014	10	1	10	16	1600	0.25	135	165
11	17014	5	1	10	16	1600	0.25	135	165
12	17014	10	1	10	16	1600	0.25	165	195
13	17014	5	1	10	16	1600	0.25	165	195
14	17014	10	1	10	16	1600	0.25	195	225
15	17014	5	1	10	16	1600	0.25	195	225
16	17014	10	1	10	16	1600	0.25	225	255
17	17014	5	1	10	16	1600	0.25	225	255
18	17014	10	1	10	16	1600	0.25	255	285
19	17014	5	1	10	16	1600	0.25	255	285
20	17014	10	1	10	16	1600	0.25	285	315
21	17014	5	1	10	16	1600	0.25	285	315
22	17014	10	1	10	16	1600	0.25	315	345
23	17014	5	1	10	16	1600	0.25	315	345
24	17014	10	1	10	16	1600	0.25	345	375
25	17014	5	1	10	16	1600	0.25	345	375
26	17014	10	1	10	16	1600	0.25	375	405
27	17014	5	1	10	16	1600	0.25	375	405
28	17014	10	1	10	16	1600	0.25	405	435
29	17014	5	1	10	16	1600	0.25	405	435
30	17014	10	1	10	16	1600	0.25	435	465
31	17014	5	1	10	16	1600	0.25	435	465
32	17014	10	1	10	16	1600	0.25	465	495
33	17014	5	1	10	16	1600	0.25	465	495
34	17014	10	1	10	16	1600	0.25	495	525
35	17014	5	1	10	16	1600	0.25	495	525
36	17014	10	1	10	16	1600	0.25	525	555
37	17014	5	1	10	16	1600	0.25	525	555
38	17014	10	1	10	16	1600	0.25	555	585
39	17014	5	1	10	16	1600	0.25	555	585
40	17014	10	1	10	16	1600	0.25	585	615
41	17014	5	1	10	16	1600	0.25	585	615
42	17014	10	1	10	16	1600	0.25	615	645
43	17014	5	1	10	16	1600	0.25	615	645
44	17014	10	1	10	16	1600	0.25	645	675
45	17014	5	1	10	16	1600	0.25	645	675
46	17014	10	1	10	16	1600	0.25	675	705
47	17014	5	1	10	16	1600	0.25	675	705
48	17014	10	1	10	16	1600	0.25	705	735
49	17014	5	1	10	16	1600	0.25	705	735
50	17014	10	1	10	16	1600	0.25	735	765
51	17014	5	1	10	16	1600	0.25	735	765
52	17014	10	1	10	16	1600	0.25	765	795
53	17014	5	1	10	16	1600	0.25	765	795
54	17014	10	1	10	16	1600	0.25	795	825
55	17014	5	1	10	16	1600	0.25	795	825
56	17014	10	1	10	16	1600	0.25	825	855
57	17014	5	1	10	16	1600	0.25	825	855
58	17014	10	1	10	16	1600	0.25	855	885
59	17014	5	1	10	16	1600	0.25	855	885
60	17014	10	1	10	16	1600	0.25	885	915
61	17014	5	1	10	16	1600	0.25	885	915
62	17014	10	1	10	16	1600	0.25	915	945
63	17014	5	1	10	16	1600	0.25	915	945
64	17014	10	1	10	16	1600	0.25	945	975
65	17014	5	1	10	16	1600	0.25	945	975
66	17014	10	1	10	16	1600	0.25	975	1005
67	17014	5	1	10	16	1600	0.25	975	1005
68	17014	10	1	10	16	1600	0.25	1005	1035
69	17014	5	1	10	16	1600	0.25	1005	1035
70	17014	10	1	10	16	1600	0.25	1035	1065
71	17014	5	1	10	16	1600	0.25	1035	1065
72	17014	10	1	10	16	1600	0.25	1065	1095
73	17014	5	1	10	16	1600	0.25	1065	1095
74	17014	10	1	10	16	1600	0.25	1095	1125
75	17014	5	1	10	16	1600	0.25	1095	1125
76	17014	10	1	10	16	1600	0.25	1125	1155
77	17014	5	1	10	16	1600	0.25	1125	1155
78	17014	10	1	10	16	1600	0.25	1155	1185
79	17014	5	1	10	16	1600	0.25	1155	1185
80	17014	10	1	10	16	1600	0.25	1185	1215
81	17014	5	1	10	16	1600	0.25	1185	1215
82	17014	10	1	10	16	1600	0.25	1215	1245
83	17014	5	1	10	16	1600	0.25	1215	1245
84	17014	10	1	10	16	1600	0.25	1245	1275
85	17014	5	1	10	16	1600	0.25	1245	1275
86	17014	10	1	10	16	1600	0.25	1275	1305
