id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	4001027	2#1|3#1|7#1|8#1|9#1|12#1|13#1|1#2|2#2|3#2|4#2|5#2|7#2|9#2|12#2|1#3|12#3|14#3|3#4|4#4|5#4|6#4|7#4|8#4|9#4|10#4|11#4|14#4|2#6|3#6|5#6|6#6|7#6|10#6|11#6|3#7|8#7|10#7|13#7|1#8|2#8|7#8|8#8|9#8|11#8|12#8|4#9	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
2	4002047	4#3|3#5|5#5	1	0#0#0
3	4002009	4#1|1#4	1	0#0
4	4002046	2#7|7#7|3#8	1	0#0#0
5	4002049	9#5|7#9	1	0#0
6	4002048	6#1|6#3|7#5	1	0#0#0
7	4002054	14#1	1	0
8	4001046	10#1|10#3	1	0#0
9	4001042	8#2|12#7	1	0#0
10	4002050	10#9	1	0
11	4002053	14#2	1	0
12	4002052	13#4|14#7	1	0#0
13	4002051	9#7|13#9	1	0#0
