Id	GoodsName	StoreId	Sort	Weight	OpenLv	Goods	PremiumType	Cost	RelatedtoVIP	Limit	IsDiscount	DiscountDegree	ExtraAdd	OpenPrivilege	BuyRule	LogGoodsName
int	string	int	int	int	mut,int#int,1	mut,int#int,2	int	mut,int#int,2	int	int	int	int	mut,int#int,2	mut,int#int,1	mut,int#int,1	string
10001	 	7	1	100	1#999	19#1	1	16|0#0#0#250	0	0	0	0	null	null	null	紫晶卡*1
10002	 	7	2	100	1#999	19#10	1	16|0#0#0#2500	0	0	1	9	null	null	null	紫晶卡*10
10003	 	7	3	100	1#999	60#2	1	16|0#0#0#100	1	6	0	0	null	null	null	幸运币*2
10004	 	7	4	100	1#999	60#5	1	16|0#0#0#250	1	6	0	0	null	null	null	幸运币*5
10006	 	7	5	100	1#999	2#100	2	16|50#50#100#100#150#200#300#400#500	1	5	0	0	null	null	null	
10007	 	7	6	100	1#999	23#1	1	16|0#0#0#20	0	0	0	0	null	null	null	参赛券*1
10008	 	7	7	100	1#999	0#0	1	47|0#0#0#1	1	0	0	0	null	null	null	
10009	 	7	8	100	1#999	27#1	1	16|0#0#20#20	1	7	0	0	null	null	null	废弃*1
10010	 	7	9	100	1#999	28#1	1	16|0#0#150#100	1	8	0	0	null	null	null	废弃*1
10011	 	7	10	100	1#999	0#0	2	16|0#200#400#400#600#600#1000	0	0	0	0	null	null	null	
10012	 	7	11	100	1#999	44#1	2	16|20#20#40#40#60#80#100#120#160#200	0	0	0	0	null	null	null	废弃*1
10013	 	7	12	100	1#999	16#10	1	16|0#0#0#10	0	0	0	0	null	null	null	钻石*10
10014	 	7	13	100	1#999	46#1	2	16|200#200#200#500#500#1000#1000#2000	0	0	0	0	null	null	null	废弃*1
10015	 	7	14	100	1#999	0#0	2	16|50#50#50#50#50#50#50#50#50#50#50	1	33	0	0	null	null	null	
10016	 	7	15	100	1#999	1#100	1	16|0#0#100#150	0	2	0	0	null	null	null	废弃*100
10017	 	7	16	100	1#999	53#1	1	16|0#0#0#20	0	0	0	0	null	null	null	废弃*1
10018	 	7	17	100	1#999	64#1	1	16|0#0#0#500	0	0	0	0	null	null	null	改名卡*1
10019	 	7	18	100	1#999	0#0	1	16|0#0#0#100	0	0	0	0	null	null	null	
10020	 	7	19	100	1#999	0#0	1	16|0#0#10#10	0	0	0	0	null	null	null	
10021	 	7	20	100	1#999	90#0	1	16|0#0#0#50	1	101	0	0	null	111	null	废弃
10022	 	7	21	100	1#999	90#0	1	16|0#0#0#50	1	102	0	0	null	112	null	废弃
10023	 	7	22	100	1#999	90#0	1	16|0#0#0#50	1	103	0	0	null	113	null	废弃
10024	 	7	23	100	1#999	90#0	1	16|0#0#0#50	1	104	0	0	null	114	null	废弃
