Id	Type	Value	PoolNum	CoverID	EffectiveRange	Group	Level	NextLv
int	mut,int#int,1	mut,float#float,2	int	int	mut,int#int,1	int	int	int
10121	90#90#90	22#0.2#1|26#0.1#1|9#0.05#1	0	0	2#2#2	1012	1	10122
10122	90#90#90	22#0.3#1|26#0.15#1|9#0.1#1	0	0	2#2#2	1012	2	10123
10123	90#90#90	22#0.4#1|26#0.2#1|9#0.15#1	0	0	2#2#2	1012	3	10124
10124	90#90#90	22#0.4#1|26#0.24#1|9#0.15#1	0	0	2#2#2	1012	4	10125
10125	90#90#90	22#0.4#1|26#0.28#1|9#0.15#1	0	0	2#2#2	1012	5	10126
10126	90#90#90	22#0.4#1|26#0.32#1|9#0.15#1	0	0	2#2#2	1012	6	10127
10127	90#90#90	22#0.4#1|26#0.36#1|9#0.15#1	0	0	2#2#2	1012	7	10128
10128	90#90#90	22#0.4#1|26#0.4#1|9#0.15#1	0	0	2#2#2	1012	8	0
10141	300	9#1#0.1#18#1#0.1#1	0	0	1	1014	1	10142
10142	300	9#1#0.15#18#1#0.15#1	0	0	1	1014	2	10143
10143	300	9#1#0.20#18#1#0.20#1	0	0	1	1014	3	10144
10144	300	9#1#0.208#18#1#0.208#1	0	0	1	1014	4	10145
10145	300	9#1#0.216#18#1#0.216#1	0	0	1	1014	5	10146
10146	300	9#1#0.224#18#1#0.224#1	0	0	1	1014	6	10147
10147	300	9#1#0.232#18#1#0.232#1	0	0	1	1014	7	10148
10148	300	9#1#0.24#18#1#0.24#1	0	0	1	1014	8	0
10221	90#90	26#0.1#1|6#0.05#1	0	0	2#2	1022	1	10222
10222	90#90	26#0.2#1|6#0.1#1	0	0	2#2	1022	2	10223
10223	90#90	26#0.3#1|6#0.15#1	0	0	2#2	1022	3	0
10321	90#90#90	26#0.1#1|22#0.05#1|9#0.05#1	0	0	2#2#2	1032	1	10322
10322	90#90#90	26#0.2#1|22#0.1#1|9#0.05#1	0	0	2#2#2	1032	2	10323
10323	90#90#90	26#0.3#1|22#0.15#1|9#0.05#1	0	0	2#2#2	1032	3	0
10421	90#90#90	22#0.2#1|10#0.1#1|4#5#1	0	0	2#2#2	1042	1	10422
10422	90#90#90	22#0.3#1|10#0.2#1|4#10#1	0	0	2#2#2	1042	2	10423
10423	90#90#90	22#0.4#1|10#0.3#1|4#15#1	0	0	2#2#2	1042	3	10424
10424	90#90#90#90	22#0.4#1|10#0.3#1|4#15#1|26#0.04#1	0	0	2#2#2#2	1042	4	10425
10425	90#90#90#90	22#0.4#1|10#0.3#1|4#15#1|26#0.08#1	0	0	2#2#2#2	1042	5	10426
