id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	106015	13#5|6#7|2#11|10#12|14#14|5#16|7#19	1	0#0#0#0#0#0#0
2	106014	10#6|4#13|9#16	1	0#0#0
3	106013	13#9	0	0
4	106001	2#4	0	0
5	106012	10#18	0	0
6	106011	7#13	0	0
7	106010	9#2	0	0
8	106008	1#1|2#1|3#1|4#1|5#1|6#1|7#1|8#1|9#1|10#1|11#1|12#1|13#1|14#1|15#1|1#2|2#2|3#2|4#2|6#2|8#2|10#2|12#2|14#2|1#3|2#3|10#3|1#4|6#4|7#4|9#4|10#4|1#5|2#5|3#5|4#5|5#5|6#5|1#6|1#7|2#7|3#7|1#8|5#8|6#8|8#8|1#9|2#9|3#9|4#9|5#9|8#9|9#9|10#9|12#9|1#10|5#10|12#10|13#10|14#10|14#11|15#11|5#12|6#12|6#13|6#14|7#14|7#15|8#15|8#17|9#17|10#17|11#17|11#18|12#18|12#19|13#19	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
9	106009	2#8	0	0
