Id	Pool	Type	HeroId	getHero	Weight
int	int	int	int	int	int
1	1	1	10001	0	100
2	1	1	10002	0	100
3	1	1	10003	0	100
4	1	1	10004	0	100
5	1	1	10005	0	100
6	1	1	10006	0	100
7	1	1	10007	0	100
8	1	1	10008	0	100
9	1	1	10009	0	100
10	1	1	10010	0	100
11	1	1	10011	0	100
12	1	1	10012	0	100
13	1	1	10013	0	100
14	1	1	10014	0	100
15	1	1	10015	0	100
16	1	1	10016	0	100
17	1	1	10017	0	100
18	1	1	10018	0	100
19	1	1	10019	0	100
20	1	1	10020	0	100
21	1	1	10021	0	100
22	1	1	10022	0	100
23	1	1	10023	0	100
24	1	1	10024	0	100
25	1	1	10025	0	100
26	1	1	10026	0	100
27	1	1	10027	0	100
28	1	1	10028	0	100
29	1	1	10029	0	100
30	1	1	10030	0	100
31	1	1	10031	0	100
32	1	1	10032	0	100
33	1	1	10033	0	100
34	1	1	10034	0	100
35	1	1	10035	0	100
36	1	1	10036	0	100
37	1	1	10037	0	100
38	1	1	10038	0	100
39	1	1	10039	0	100
40	1	1	10040	0	100
41	1	1	10041	0	100
42	1	1	10042	0	100
43	1	1	10043	0	100
44	1	1	10044	0	100
45	1	1	10045	0	100
46	1	1	10046	0	100
47	2	2	810001	10001	100
48	2	2	810002	10002	100
49	2	2	810003	10003	100
50	2	2	810004	10004	100
51	2	2	810005	10005	100
52	2	2	810006	10006	100
53	2	2	810007	10007	100
54	2	2	810008	10008	100
55	2	2	810009	10009	100
56	2	2	810010	10010	100
57	2	2	810011	10011	100
58	2	2	810012	10012	100
59	2	2	810013	10013	100
60	2	2	810014	10014	100
61	2	2	810015	10015	100
62	2	2	810016	10016	100
63	2	2	810017	10017	100
64	2	2	810018	10018	100
65	3	3	810019	0	100
66	3	3	810020	0	100
67	3	3	810021	0	100
68	3	3	810022	0	100
69	3	3	810023	0	100
70	3	3	810024	0	100
