id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	105012	15#25	0	0
2	105001	3#28	0	0
3	105010	3#3	0	0
4	105021	5#4|16#9|11#10|6#14|17#14|11#21	1	0#0#0#0#0#0
5	105005	16#1|17#1|18#1|19#1|1#2|2#2|1#3|2#3|2#4|3#4|7#4|8#4|2#5|3#5|4#5|5#5|7#5|8#5|4#6|5#6|5#7|6#7|7#7|8#7|5#8|6#8|7#8|8#8|11#8|12#8|13#8|14#8|8#9|9#9|11#9|12#9|13#9|14#9|12#10|13#10|14#10|14#11|15#11|14#12|15#12|14#13|15#13|14#14|15#14|14#15|15#15|14#16|15#16|14#17|15#17|18#17|14#18|15#18|18#18|14#19|15#19|18#19|14#20|15#20|17#20|18#20|14#21|15#21|17#21|18#21|14#22|15#22|17#22|18#22|14#23|15#23|17#23|18#23|1#24|15#24|17#24|18#24|1#25|2#25|17#25|18#25|19#25|1#26|2#26|3#26|15#26|16#26|17#26|19#26|1#27|2#27|16#27|17#27|1#28|2#28|4#28|5#28|1#29|2#29|3#29|4#29|5#29|6#29|7#29|8#29|9#29|1#30|2#30|3#30|4#30|5#30|6#30|7#30|8#30|9#30|10#30|11#30|12#30|13#30|14#30	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
6	105002	3#24|4#24|5#24|6#24|3#25|6#25|6#26|6#27	1	0#0#0#0#0#0#0#0
7	105003	16#22|13#24|13#25|13#26|13#27|14#27|15#27	1	0#0#0#0#0#0#0
8	105009	7#9	0	0
9	105007	10#3|13#4|3#12|10#15|5#20|9#27	1	0#0#0#0#0#0
10	105008	15#30	0	0
