id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	3032007	2#2	0	0
2	3032005	2#8	0	0
3	3032006	3#11	0	0
4	3032003	5#8	0	0
5	3032004	7#9	0	0
6	3032012	1#1|1#7|10#8|6#10|4#12	0	0#0#0#0#0
7	3032011	5#5|6#5	1	0#0
8	3032001	8#11	0	0
9	3032002	9#7	0	0
10	3032010	3#1|4#1|5#1|6#1|7#1|8#1|9#1|10#1|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|4#3|5#3|6#3|7#3|1#4|2#4|9#4|10#4|1#5|2#5|3#5|4#5|7#5|8#5|9#5|10#5|1#6|2#6|4#6|10#7|2#9|3#9|9#9|10#9|2#10|3#10|4#10|9#10|5#12|6#12	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
11	3032009	10#10	0	0
12	3021016	9#3|3#6|7#6|10#6|4#9|1#12|10#12	0	0#0#0#0#0#0#0
